Days,12/18/2024,11/07/2024,09/18/2024,07/26/2023,05/03/2023
0,,,0.000000,0.977692,0.949670
1,,0.000000,0.000000,0.977692,0.874286
2,,0.000000,0.000000,0.965769,0.959341
3,,0.000000,,,
5,,,0.000000,0.953846,0.869011
6,,0.000000,0.000000,0.953846,0.870549
7,,0.000000,0.000000,0.941923,0.750000
8,,0.000000,0.000000,0.941923,0.781319
9,,0.000000,0.000000,0.941923,0.933407
10,,0.000000,,,
12,,,0.000000,0.930000,0.917802
13,,0.000000,0.000000,0.894231,0.873407
14,,0.000000,0.000000,0.906154,0.867692
15,,0.000000,0.000000,0.894231,0.849011
16,,0.000000,,0.894231,0.883077
17,,0.000000,,,
19,,,0.000000,0.894231,0.811209
20,,0.000000,0.000000,0.882308,0.700330
21,,0.000000,0.000000,0.870385,0.735934
22,,0.000000,0.000000,,0.755055
23,,0.000000,0.000000,0.834615,0.743846
24,,0.000000,,,
26,,,0.000000,0.834615,0.730769
27,,0.000000,0.000000,0.858462,0.509890
28,,0.000000,0.000000,0.786923,0.453626
29,,0.000000,0.000000,0.739231,0.464286
30,,0.000000,0.000000,0.715385,0.593846
31,,0.000000,,,
33,,,0.000000,0.691538,0.499560
34,,0.000000,0.000000,0.715385,0.489231
35,,0.000000,0.000000,0.715385,0.430110
36,,0.000000,0.000000,0.739231,0.489890
37,,0.000000,0.000000,,0.436264
38,,0.000000,,,
40,,,0.000000,0.715385,0.195165
41,,0.000000,0.000000,0.643846,0.294945
42,0.000000,0.000000,0.000000,0.628143,0.972881
43,0.000000,0.000000,0.000000,0.642751,0.947511
44,0.000000,0.000000,0.000000,0.732493,0.861494
45,,0.000000,,,
47,0.000000,,0.000000,0.695087,0.717951
48,0.000000,0.000000,0.000000,0.649716,0.926171
49,0.000000,0.000000,0.000000,0.649716,0.828112
50,0.000000,0.000000,0.000000,0.642156,0.868175
51,0.000000,0.000000,0.000000,0.652342,0.803987
52,,0.000000,,,
54,0.000000,,0.000000,0.675736,1.000000
55,0.000000,0.000000,0.000000,0.538683,1.000000
56,0.000000,0.000000,0.000000,0.662529,1.000000
57,0.000000,0.000000,0.000000,0.793518,1.000000
58,0.000000,0.000000,0.000000,,1.000000
59,,0.000000,,,
61,0.000000,,0.000000,0.780776,1.000000
62,0.000000,0.000000,0.000000,0.749383,1.000000
63,0.000000,0.000000,0.000000,0.561357,1.000000
64,0.000000,0.000000,0.000000,0.414864,1.000000
65,0.000000,0.000000,0.000000,0.357779,1.000000
68,0.000000,,0.000000,0.183142,1.000000
69,0.000000,0.000000,0.000000,0.301495,1.000000
70,0.000000,0.000000,0.000000,0.192894,1.000000
71,0.000000,0.000000,0.000000,0.131787,1.000000
72,0.000000,0.000000,0.000000,0.105413,
73,,0.000000,,,
75,0.000000,,0.000000,0.076864,1.000000
76,0.000000,0.000000,,0.035751,1.000000
77,0.000000,0.000000,0.000000,0.000000,1.000000
78,0.000000,0.000000,0.000000,0.106934,1.000000
79,0.000000,0.000000,0.000000,0.076864,1.000000
80,,0.000000,,,
82,0.000000,,0.000000,0.028544,1.000000
83,0.000000,0.000000,0.000000,0.000000,1.000000
84,0.000000,0.000000,0.000000,0.639220,1.000000
85,0.000000,0.000000,0.000000,0.564476,1.000000
86,0.000000,0.000000,0.000000,0.867471,0.996164
87,,0.000000,,,
89,0.000000,,0.000000,0.753581,0.974169
90,0.000000,0.000000,0.000000,0.780367,0.869005
